,Sludinājumi,Iela,Ist.,m2,Stāvs,Sērija,"Cena, m2",Cena,URL,Region
0,Nams būvēts 1907. gadā pēc arhitekta Aleksandra Vanaga projekta.,Barona 30,3,96,5/6,P. kara,"3,385 €","325,000  €",https://www.ss.com/msg/lv/real-estate/flats/riga/centre/ddxcf.html,centre
1,"Pārdod 3-istabu dzīvokli Rīgas klusajā centrā, Ausekļa ielā 1 ar",Ausekļa 1,3,74,3/5,P. kara,"2,297 €","170,000  €",https://www.ss.com/msg/lv/real-estate/flats/riga/centre/gcekd.html,centre
2,Nams būvēts 1907. gadā pēc arhitekta Aleksandra Vanaga projekta.,Barona 30,3,95,2/6,P. kara,"2,495 €","237,000  €",https://www.ss.com/msg/lv/real-estate/flats/riga/centre/gnhnd.html,centre
3,"Samazināta cena, iegūsti savu Laimi. 

Pārdodam brīnišķīgu, sa",Valdemāra 123,3,102,6/6,P. kara,"1,372 €","139,900  €",https://www.ss.com/msg/lv/real-estate/flats/riga/centre/bednbc.html,centre
4,В доме всего 6 квартир. Печное отопление (коммунальный платеж- 4,Pērnavas 43,3,54,3/6,P. kara,950 €,"51,300  €",https://www.ss.com/msg/lv/real-estate/flats/riga/centre/dbppo.html,centre
5,Pārdod 2 istabu dzīvokli vēsturiski renovētā jūgendstila ēkā Lāč,Lāčplēša 48,2,58,2/6,P. kara,"2,155 €","125,000  €",https://www.ss.com/msg/lv/real-estate/flats/riga/centre/agoel.html,centre
6,Pārdod jumta izbūves mākslinieku darbnīcu divos stāvos un domāja,Ieroču 1,2,83,5/6,Staļina,759 €,"63,000  €",https://www.ss.com/msg/lv/real-estate/flats/riga/centre/bcojen.html,centre
7,"Pārdod renovētā fasādes ēkā, saulainu 1 istabu dzīvokli ar plašu",Pērnavas 23,1,30,6/6,P. kara,"1,890 €","56,700  €",https://www.ss.com/msg/lv/real-estate/flats/riga/centre/aceme.html,centre
8,Tiek piedāvāts pārdošanai mājīgs un pozitīvs 3.istabu dzīvoklis ,Brīvības 92/94,3,83,2/5,Specpr.,"1,434 €","119,000  €",https://www.ss.com/msg/lv/real-estate/flats/riga/centre/bdpbf.html,centre
9,Pārdodam dzīvokli jaunā projektā Rīgas modernajā centrā - Skanst,Vesetas 26,3,58,2/10,Jaun.,"1,810 €","105,000  €",https://www.ss.com/msg/lv/real-estate/flats/riga/centre/ckhmd.html,centre
10,Pārdodam dzīvokli jaunā projektā Rīgas modernajā centrā - Skanst,Vesetas 26,1,40,2/10,Jaun.,"2,375 €","95,000  €",https://www.ss.com/msg/lv/real-estate/flats/riga/centre/felhm.html,centre
11,Pārdodam dzīvokli jaunā projektā Rīgas modernajā centrā - Skanst,Vesetas 26,3,76,10/10,Jaun.,"2,303 €","175,000  €",https://www.ss.com/msg/lv/real-estate/flats/riga/centre/bcjegd.html,centre
12,Īpašnieks pārdod (vērtējumu var sagatavot 135'000Eur bez mēbelēm,Strēlnieku 19,3,79,1/3,P. kara,"1,709 €","135,000  €",https://www.ss.com/msg/lv/real-estate/flats/riga/centre/bjpjc.html,centre
13,"Практичная четырехкомнатная квартира в Skanstes virsotnes. 

Г",Skanstes 29a,4,105,4/24,Jaun.,"2,000 €","210,000  €",https://www.ss.com/msg/lv/real-estate/flats/riga/centre/bcjpii.html,centre
14,Pārdod plašu un gaišu 3 istabu dzīvokli tālajā centrā. Dzīvoklis,Nītaures 3,3,120,4/8,Jaun.,"1,825 €","219,000  €",https://www.ss.com/msg/lv/real-estate/flats/riga/centre/bieei.html,centre
15,"2-istabu dzīvoklis Rīgas centrā - ļoti labā vietā. Klusā, slēdza",Ģertrūdes 113,2,42,6/6,P. kara,"1,352 €","56,800  €",https://www.ss.com/msg/lv/real-estate/flats/riga/centre/ghkoe.html,centre
16,Steidzmi tiek pārdots ideāls investīciju objekts īres biznesam k,Katrīnas d. 17,6,169,2/6,Jaun.,"1,095 €","185,000  €",https://www.ss.com/msg/lv/real-estate/flats/riga/centre/cnedm.html,centre
17,"Tiek pārdots 2-istabu dzīvoklis, Rīgas Centrā, Kr. Valdemāra iel",Valdemāra 105,2,46,2/5,Specpr.,"1,272 €","58,500  €",https://www.ss.com/msg/lv/real-estate/flats/riga/centre/bcipje.html,centre
18,"Pārdodu, elegantu tikko izremontētu trīs istabu dzīvokli ar visā",Stabu 96,3,71,5/5,P. kara,"1,761 €","125,000  €",https://www.ss.com/msg/lv/real-estate/flats/riga/centre/abneb.html,centre
19,Ļoti laba vieta pārdodam 4 istabu dzīvokli. Māja ir kartīgi izbu,Stabu 60,4,115,3/5,P. kara,"1,426 €","164,000  €",https://www.ss.com/msg/lv/real-estate/flats/riga/centre/ajpcj.html,centre
20,Pārdošanai tiek lielisks trīsistabu dzīvoklis jaunbūves projektā,Katrīnas d. 17,3,78,1/6,Specpr.,"1,199 €","93,500  €",https://www.ss.com/msg/lv/real-estate/flats/riga/centre/feflf.html,centre
21,"Trīs-istabu dzīvoklis atrodas ķieģeļu mājā, kas tika nodota eksp",Brīvības 177,3,66,3/5,Specpr.,"1,697 €","112,000  €",https://www.ss.com/msg/lv/real-estate/flats/riga/centre/amfbf.html,centre
22,Pārdod izsmalcinātu dzīvokli Rīgas klusajā centrā arhitekta Kons,Vīlandes 16,3,90,2/6,Renov.,"2,944 €","265,000  €",https://www.ss.com/msg/lv/real-estate/flats/riga/centre/acklc.html,centre
23,"Jaunā projektā tiek piedāvāts kompakts 2-istabu dzīvoklis. 
Māj",Stabu 100,2,40,3/7,Jaun.,"2,354 €","94,164  €",https://www.ss.com/msg/lv/real-estate/flats/riga/centre/bgkcm.html,centre
24,Pārdod 4 istabu dzīvokli Blaumaņa ielā 34. Dzīvoklis atrodas ēka,Blaumaņa 34,4,103,3/6,Renov.,"1,705 €","175,610  €",https://www.ss.com/msg/lv/real-estate/flats/riga/centre/adfpd.html,centre
25,Piedāvājumā 3 istabu dzīvoklis jaunajā projektā Club Central Res,Lāčplēša 11,3,106,6/7,Jaun.,"4,647 €","492,560  €",https://www.ss.com/msg/lv/real-estate/flats/riga/centre/beidcl.html,centre
